ListID,ListName,ItemID,ItemName,LogID,Latitude,Longitude,Altitude,Quantity,Error Radius,Timestamp,Location,Description,Material ID,Material Description
22,Marine Debris Items,179,Beverage Bottles,603975,27.5373802185,-81.4927749634,22.9356040955,1,10,20200101021736,"Avon Park, Florida, United States of America",,4,PLASTIC
22,Marine Debris Items,182,Metal Bottle Caps,604285,27.4698848724,-81.5324401855,26.3052787781,1,5,20200101155510,"Highlands County, Florida, United States of America",,2,METAL
22,Marine Debris Items,1919,Film fragments,604287,27.4695529938,-81.5324859619,26.1024475098,1,5,20200101155852,"Highlands County, Florida, United States of America",,4,PLASTIC
22,Marine Debris Items,189,Foam or Plastic Cups,604288,27.46991539,-81.5327682495,25.116235733,1,5,20200101160017,"Highlands County, Florida, United States of America",,4,PLASTIC
22,Marine Debris Items,195,Food Wrappers,604286,26.7902733,80.9695781,0,1,1399.99902344,20200101163801,"Lucknow, Uttar Pradesh, India",,4,PLASTIC
22,Marine Debris Items,195,Food Wrappers,604289,28.973037,79.3963327,0,1,23.2999992371,20200101192327,"Kichha, Uttarakhand, India",,4,PLASTIC
22,Marine Debris Items,195,Food Wrappers,604294,28.973037,79.3963327,0,1,23.2999992371,20200101192327,"Kichha, Uttarakhand, India",,4,PLASTIC
22,Marine Debris Items,179,Beverage Bottles,604290,28.973037,79.3963327,0,1,23.2999992371,20200101192328,"Kichha, Uttarakhand, India",,4,PLASTIC
22,Marine Debris Items,179,Beverage Bottles,604295,28.973037,79.3963327,0,1,23.2999992371,20200101192328,"Kichha, Uttarakhand, India",,4,PLASTIC
22,Marine Debris Items,183,Lumber/Building Materials,604291,28.973037,79.3963327,0,1,26.1599998474,20200101192332,"Kichha, Uttarakhand, India",,8,PAPER & LUMBER
22,Marine Debris Items,176,Paper Bags,604292,28.973037,79.3963327,0,1,26.1599998474,20200101192332,"Kichha, Uttarakhand, India",,8,PAPER & LUMBER
22,Marine Debris Items,183,Lumber/Building Materials,604296,28.973037,79.3963327,0,1,26.1599998474,20200101192332,"Kichha, Uttarakhand, India",,8,PAPER & LUMBER
22,Marine Debris Items,176,Paper Bags,604297,28.973037,79.3963327,0,1,26.1599998474,20200101192332,"Kichha, Uttarakhand, India",,8,PAPER & LUMBER
22,Marine Debris Items,210,Towels or rags,604293,28.973037,79.3963327,0,1,26.1599998474,20200101192333,"Kichha, Uttarakhand, India",,7,CLOTH
22,Marine Debris Items,210,Towels or rags,604298,28.973037,79.3963327,0,1,26.1599998474,20200101192333,"Kichha, Uttarakhand, India",,7,CLOTH
22,Marine Debris Items,201,Personal care products,604299,34.6640968323,-77.0175170898,2.89893960953,1,11.6351575851,20200101200159,"Emerald Isle, North Carolina, United States of America",,4,PLASTIC
22,Marine Debris Items,179,Beverage Bottles,604633,27.5382766724,-81.4942016602,34.8144493103,1,10,20200102025022,"Avon Park, Florida, United States of America",,4,PLASTIC
22,Marine Debris Items,189,Foam or Plastic Cups,604634,27.5374908447,-81.4928283691,34.4365501404,1,5,20200102031134,"Avon Park, Florida, United States of America",,4,PLASTIC
22,Marine Debris Items,179,Beverage Bottles,604635,27.5373630524,-81.4928359985,34.9053230286,1,89.9420852661,20200102031219,"Avon Park, Florida, United States of America",,4,PLASTIC
22,Marine Debris Items,194,Food wrappers (paper),604636,27.5363521576,-81.4928436279,35.6158981323,1,65,20200102031323,"Avon Park, Florida, United States of America",,8,PAPER & LUMBER
22,Marine Debris Items,176,Paper Bags,604637,27.5363521576,-81.4928436279,35.6158981323,1,65,20200102031327,"Avon Park, Florida, United States of America",,8,PAPER & LUMBER
22,Marine Debris Items,207,Straws,604702,27.1886729,77.9972486,0,1,899.999023438,20200102155528,"Agra, Uttar Pradesh, India",,4,PLASTIC
22,Marine Debris Items,178,Balloons - Mylar,604703,27.1886729,77.9972486,0,1,899.999023438,20200102155529,"Agra, Uttar Pradesh, India",,4,PLASTIC
22,Marine Debris Items,1917,Hard plastic fragments,604704,27.1886729,77.9972486,0,1,899.999023438,20200102155531,"Agra, Uttar Pradesh, India",,4,PLASTIC
22,Marine Debris Items,1917,Hard plastic fragments,604705,27.1886729,77.9972486,0,1,899.999023438,20200102155531,"Agra, Uttar Pradesh, India",,4,PLASTIC
