ListID,ListName,ItemID,ItemName,LogID,Latitude,Longitude,Altitude,Quantity,Error Radius,Timestamp,Location,Description,Material ID,Material Description
22,Marine Debris Items,216,Fireworks,4747,33.6748161315918,-78.8981857299805,41.8529319763184,6,200,20120101173455,"Myrtle Beach, SC",Cardboard remnants,4,PLASTIC
22,Marine Debris Items,177,Plastic Bags,4748,33.6748542785645,-78.8981704711914,45,1,30,20120101173531,"Myrtle Beach, SC",Baggie,4,PLASTIC
22,Marine Debris Items,187,Cigarettes,4749,33.6748542785645,-78.8981704711914,46,12,100,20120101173728,"Myrtle Beach, SC",Butts,4,PLASTIC
22,Marine Debris Items,187,Cigarettes,4750,33.6748542785645,-78.8981704711914,47,5,50,20120101173729,"Myrtle Beach, SC",Butts,4,PLASTIC
22,Marine Debris Items,177,Plastic Bags,4751,41.2582874833333,-95.9267955,318.6,4,3,20120101175022,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,206,Six-pack rings,4752,41.2583120833333,-95.9269382333333,319.1,1,3,20120101175023,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,179,Beverage Bottles,4753,41.2583466666667,-95.92708075,317.4,1,3,20120101175023,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,181,Bottle or Container Caps,4754,41.2583924666667,-95.9271956333333,318.8,1,3,20120101175024,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,200,Paper and Cardboard,4755,26.1909637451172,-80.0934829711914,0,3,1547,20120102111328,"Lauderdale-by-the-Sea, FL",undefined,8,PAPER & LUMBER
22,Marine Debris Items,178,Balloons - Mylar,4756,26.1909637451172,-80.0934829711914,0,5,1547,20120102111329,"Lauderdale-by-the-Sea, FL",,4,PLASTIC
22,Marine Debris Items,195,Food Wrappers,4757,26.1909637451172,-80.0934829711914,0,11,1547,20120102111335,"Lauderdale-by-the-Sea, FL",,4,PLASTIC
22,Marine Debris Items,181,Bottle or Container Caps,4758,26.1909637451172,-80.0934829711914,0,10,1547,20120102111336,"Lauderdale-by-the-Sea, FL",,4,PLASTIC
22,Marine Debris Items,177,Plastic Bags,4759,41.25512285,-95.93274065,333.8,2,4,20120102164237,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,179,Beverage Bottles,4760,41.2551308,-95.9327400333333,335,2,8,20120102164240,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,179,Beverage Bottles,4761,41.2551314,-95.9327401666667,334.8,1,6,20120102164241,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,186,Cigarette or tobacco packaging,4762,41.2551317,-95.9327402833333,334.8,1,6,20120102164242,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,187,Cigarettes,4763,41.2551329666667,-95.9327405,334.6,35,4,20120102164242,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,175,Aluminum or tin cans,4764,41.2551679833333,-95.9328053166667,337.3,2,8,20120103171228,"Omaha, NE",,2,METAL
22,Marine Debris Items,177,Plastic Bags,4765,41.2551384833333,-95.9327763166667,335.8,2,6,20120103171228,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,179,Beverage Bottles,4766,41.2551393666667,-95.9327735833333,335.5,1,3,20120103171229,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,189,Foam or Plastic Cups,4767,41.2551377333333,-95.93277175,335.5,1,4,20120103171229,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,190,Paper Cups,4768,41.2551384166667,-95.9327703666667,335.6,1,6,20120103171230,"Omaha, NE",,8,PAPER & LUMBER
22,Marine Debris Items,207,Straws,4769,41.255137,-95.9327697833333,336.1,1,4,20120103171231,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,175,Aluminum or tin cans,4770,41.25815545,-95.9239034833333,311.3,3,6,20120104161744,"Omaha, NE",,2,METAL
22,Marine Debris Items,177,Plastic Bags,4771,41.2582322,-95.9239667666667,308.9,4,4,20120104161745,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,179,Beverage Bottles,4772,41.25828465,-95.9240466833333,309.8,1,3,20120104161745,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,180,Glass Bottle,4773,41.2583383833333,-95.9241066,309.3,1,6,20120104161746,"Omaha, NE",,5,GLASS
22,Marine Debris Items,181,Bottle or Container Caps,4774,41.2583652,-95.92415485,307.2,1,4,20120104161747,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,186,Cigarette or tobacco packaging,4775,41.2584728833333,-95.9243072833333,310.2,4,3,20120104161747,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,187,Cigarettes,4776,41.2585365333333,-95.92436215,309.4,30,3,20120104161748,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,177,Plastic Bags,4777,41.2558468666667,-95.9261623166667,300.7,6,6,20120105150517,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,180,Glass Bottle,4778,41.2559007833333,-95.9262354,300.6,1,8,20120105150517,"Omaha, NE",,5,GLASS
22,Marine Debris Items,186,Cigarette or tobacco packaging,4779,41.2559966833333,-95.9263217166667,300.5,4,6,20120105150518,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,187,Cigarettes,4780,41.2563711833333,-95.9256096666667,311.1,40,6,20120105150738,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,195,Food Wrappers,4781,41.2564201166667,-95.9254628,309.4,8,4,20120105150739,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,194,Food wrappers (paper),4782,41.25642015,-95.9253122333333,308.3,4,3,20120105150740,"Omaha, NE",,8,PAPER & LUMBER
22,Marine Debris Items,189,Foam or Plastic Cups,4783,41.2583903166667,-95.9271322833333,319.8,2,4,20120105152432,"Omaha, NE",,4,PLASTIC
22,Marine Debris Items,191,Fabric pieces,4784,41.2584056833333,-95.9272432666667,320.9,1,3,20120105152432,"Omaha, NE",,7,CLOTH
22,Marine Debris Items,200,Paper and Cardboard,4785,41.2583985166667,-95.9273712166667,321.6,1,3,20120105152433,"Omaha, NE",,8,PAPER & LUMBER
22,Marine Debris Items,207,Straws,4786,41.2583921,-95.9274194,321.5,1,4,20120105152434,"Omaha, NE",,4,PLASTIC
